//0																													
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1999.26	0	  2.5465	0	34.7574	0	27.701	0	195.9	0	58.3	0	29.75	0	0.05	0	0.000103	0	7.7332	0	7.5002	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1899.44	0	  2.5225	0	34.7256	0	27.677	0	186.3	0	55.4	0	31.30	0	0.05	0	0.000105	0	7.7147	0	7.4797	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1799.41	0	  2.6558	0	34.7161	0	27.656	0	187.9	0	56.0	0	30.96	0	0.05	0	0.000102	0	7.7187	0	7.4818	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1698.98	0	  2.6802	0	34.6918	0	27.634	0	184.3	0	55.0	0	31.73	0	0.04	0	0.000102	0	7.7130	0	7.4737	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1599.14	0	  2.7004	0	34.6568	0	27.604	0	180.0	0	53.8	0	32.54	0	0.04	0	0.000110	0	7.7041	0	7.4625	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1499.14	0	  2.7234	0	34.6168	0	27.569	0	177.2	0	52.9	0	33.48	0	0.05	0	0.000105	0	7.6974	0	7.4534	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1399.75	0	  2.7444	0	34.5850	0	27.541	0	176.4	0	52.7	0	34.08	0	0.05	0	0.000107	0	7.6933	0	7.4466	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1299.56	0	  2.7896	0	34.5341	0	27.495	0	176.5	0	52.8	0	34.61	0	0.05	0	0.000107	0	7.6910	0	7.4419	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1199.10	0	  2.8248	0	34.4817	0	27.449	0	178.6	0	53.4	0	35.18	0	0.04	0	0.000108	0	7.6908	0	7.4389	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		  1098.93	0	  2.8731	0	34.4387	0	27.409	0	183.0	0	54.8	0	35.38	0	0.04	0	0.000110	0	7.6958	0	7.4408	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   999.23	0	  2.9332	0	34.3908	0	27.364	0	189.8	0	56.9	0	35.23	0	0.04	0	0.000107	0	7.7059	0	7.4476	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   950.96	0	  2.9913	0	34.3537	0	27.327	0	195.7	0	58.7	0	34.98	0	0.05	0	0.000108	0	7.7045	0	7.4456	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   901.59	0	  3.0727	0	34.3215	0	27.293	0	202.4	0	60.9	0	34.63	0	0.04	0	0.000113	0	7.7136	0	7.4535	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   851.15	0	  3.1480	0	34.2945	0	27.263	0	209.1	0	63.0	0	34.14	0	0.03	0	0.000111	0	7.7248	0	7.4631	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   800.89	0	  3.2126	0	34.2757	0	27.241	0	214.4	0	64.7	0	33.79	0	0.03	0	0.000111	0	7.7310	0	7.4680	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   751.56	0	  3.3095	0	34.2528	0	27.212	0	220.0	0	66.5	0	33.33	0	0.03	0	0.000113	0	7.7424	0	7.4781	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   701.71	0	  3.4496	0	34.2212	0	27.171	0	228.9	0	69.4	0	32.60	0	0.05	0	0.000108	0	7.7539	0	7.4891	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   651.43	0	  3.6100	0	34.2066	0	27.142	0	235.0	0	71.5	0	31.90	0	0.04	0	0.000124	0	7.7637	0	7.4986	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   601.49	0	  3.7805	0	34.1875	0	27.108	0	242.0	0	74.0	0	31.25	0	0.04	0	0.000121	0	7.7740	0	7.5088	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   551.62	0	  3.9617	0	34.1712	0	27.075	0	247.7	0	76.0	0	30.44	0	0.03	0	0.000115	0	7.7815	0	7.5165	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   501.25	0	  4.1158	0	34.1632	0	27.051	0	251.5	0	77.5	0	29.99	0	0.04	0	0.000118	0	7.7882	0	7.5231	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   451.67	0	  4.3344	0	34.1720	0	27.033	0	251.5	0	77.9	0	29.59	0	0.04	0	0.000118	0	7.7899	0	7.5261	0
9313SoOcn	 1	C	12/07/2014	23:50	   7.197	-44.602		   401.62	0	  4.4759	0	34.1643	0	27.011	0	254.3	0	79.1	0	29.09	0	0.02	0	0.000127	0	7.7950	0	7.5311	0
